ac_id,us_id,epic_id,squad,owner_role,estimate_points,phase_primary,phase_secondary,priority,moscow,release,requirement_type,nfr_metric,nfr_target,depends_on_epics,depends_on_us,depends_on_acs,test_layer_required,min_automated_tests,framework_tags,control_clause_ids,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-07-001-01,US-DG-07-001,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,"Parser registry includes backends listed in §15.1 for GA targets (Terraform, CFN, K8s, Ali ROS, Huawei template).","Verify AC-DG-07-001-01: Parser registry includes backends listed in §15.1 for GA targets (Terraform, CFN, K8s, Ali ROS, Huawei template).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-001-01,TC-DG-07-001-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-001-01"") or Xray/TestRail key == AC-DG-07-001-01",Architecture_Design.md (see product spec)
AC-DG-07-001-02,US-DG-07-001,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,"Tool execution uses `safe_read` sandbox — no path traversal (Architecture §6.5, §20.3).","Verify AC-DG-07-001-02: Tool execution uses `safe_read` sandbox — no path traversal (Architecture §6.5, §20.3).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-001-02,TC-DG-07-001-02.2,"pytest marker @pytest.mark.req(""AC-DG-07-001-02"") or Xray/TestRail key == AC-DG-07-001-02","Architecture §6.5, §20.3"
AC-DG-07-002-01,US-DG-07-002,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,`max_iterations` default 5 per agent configuration (Architecture §3.1).,Verify AC-DG-07-002-01: `max_iterations` default 5 per agent configuration (Architecture §3.1).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-002-01,TC-DG-07-002-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-002-01"") or Xray/TestRail key == AC-DG-07-002-01",Architecture §3.1
AC-DG-07-002-02,US-DG-07-002,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,"Tool failures append `AgentError`, mark resource `SKIPPED`, continue when non-fatal (Architecture §31.4).","Verify AC-DG-07-002-02: Tool failures append `AgentError`, mark resource `SKIPPED`, continue when non-fatal (Architecture §31.4).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-002-02,TC-DG-07-002-02.2,"pytest marker @pytest.mark.req(""AC-DG-07-002-02"") or Xray/TestRail key == AC-DG-07-002-02",Architecture §31.4
AC-DG-07-003-01,US-DG-07-003,EPIC-DG-07,connectors,cloud_security_engineer,5,L9,C1-C4,P0,Must,MVP,Functional,,,,,,integration,1,,,Interface methods include IAM/network/storage/compute/encryption/audit accessors (Architecture §15.2).,Verify AC-DG-07-003-01: Interface methods include IAM/network/storage/compute/encryption/audit accessors (Architecture §15.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-003-01,TC-DG-07-003-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-003-01"") or Xray/TestRail key == AC-DG-07-003-01",Architecture §15.2
AC-DG-07-003-02,US-DG-07-003,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,AWS + Alibaba + Tencent + Huawei connectors enumerated in Chinese business doc map to same `ResourceSnapshot` canonical model (Business doc §13–§14).,Verify AC-DG-07-003-02: AWS + Alibaba + Tencent + Huawei connectors enumerated in Chinese business doc map to same `ResourceSnapshot` canonical model (Business doc §13–§14).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-003-02,TC-DG-07-003-02.2,"pytest marker @pytest.mark.req(""AC-DG-07-003-02"") or Xray/TestRail key == AC-DG-07-003-02",Architecture_Design.md (see product spec)
AC-DG-07-004-01,US-DG-07-004,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P0,Must,MVP,Functional,,,,,,integration,1,,,Cloud credentials documented as read-only IAM/CAM policies (Architecture §2.3; Business doc §13.x).,Verify AC-DG-07-004-01: Cloud credentials documented as read-only IAM/CAM policies (Architecture §2.3; Business doc §13.x).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-004-01,TC-DG-07-004-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-004-01"") or Xray/TestRail key == AC-DG-07-004-01",Architecture §2.3; Business doc §13.x
AC-DG-07-004-02,US-DG-07-004,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,No write APIs invoked in connector code paths (static analysis / contract tests).,Verify AC-DG-07-004-02: No write APIs invoked in connector code paths (static analysis / contract tests).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-004-02,TC-DG-07-004-02.2,"pytest marker @pytest.mark.req(""AC-DG-07-004-02"") or Xray/TestRail key == AC-DG-07-004-02",Architecture_Design.md (see product spec)
AC-DG-07-005-01,US-DG-07-005,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,`CloudConnectorError` triggers degraded snapshot with explicit coverage gaps in report appendix (Architecture §19.1).,Verify AC-DG-07-005-01: `CloudConnectorError` triggers degraded snapshot with explicit coverage gaps in report appendix (Architecture §19.1).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-005-01,TC-DG-07-005-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-005-01"") or Xray/TestRail key == AC-DG-07-005-01",Architecture §19.1
AC-DG-07-006-01,US-DG-07-006,EPIC-DG-07,connectors,cloud_security_engineer,3,L9,C1-C4,P1,Should,MVP,Functional,,,,,,integration,1,,,`kubernetes-validate` (or successor) integrated; invalid manifests produce `SKIPPED` with reason (Architecture §15.1).,Verify AC-DG-07-006-01: `kubernetes-validate` (or successor) integrated; invalid manifests produce `SKIPPED` with reason (Architecture §15.1).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces. | 4. Execute negative path and assert stable error_code with no side effects.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-07.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-07-006-01,TC-DG-07-006-01.2,"pytest marker @pytest.mark.req(""AC-DG-07-006-01"") or Xray/TestRail key == AC-DG-07-006-01",Architecture §15.1
