ac_id,us_id,epic_id,squad,owner_role,estimate_points,phase_primary,phase_secondary,priority,moscow,release,requirement_type,nfr_metric,nfr_target,depends_on_epics,depends_on_us,depends_on_acs,test_layer_required,min_automated_tests,framework_tags,control_clause_ids,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-13-001-01,US-DG-13-001,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"Default configuration blocks remote LLM calls when `deployment=private_cloud|air_gapped` (Architecture §2.3, §13.2).","Verify AC-DG-13-001-01: Default configuration blocks remote LLM calls when `deployment=private_cloud|air_gapped` (Architecture §2.3, §13.2).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-001-01,TC-DG-13-001-01.2,"pytest marker @pytest.mark.req(""AC-DG-13-001-01"") or Xray/TestRail key == AC-DG-13-001-01","Architecture §2.3, §13.2"
AC-DG-13-001-02,US-DG-13-001,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,Opt-in SaaS LLM tier requires explicit tenant contract flag recorded in audit log (product requirement; implementation-specific storage).,Verify AC-DG-13-001-02: Opt-in SaaS LLM tier requires explicit tenant contract flag recorded in audit log (product requirement; implementation-specific storage).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-001-02,TC-DG-13-001-02.2,"pytest marker @pytest.mark.req(""AC-DG-13-001-02"") or Xray/TestRail key == AC-DG-13-001-02",Architecture_Design.md (see product spec)
AC-DG-13-002-01,US-DG-13-002,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"`CALYPSO_BACKEND` supports documented backends; short TTL tokens only (Architecture §20.1, §27.3).","Verify AC-DG-13-002-01: `CALYPSO_BACKEND` supports documented backends; short TTL tokens only (Architecture §20.1, §27.3).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-002-01,TC-DG-13-002-01.2,"pytest marker @pytest.mark.req(""AC-DG-13-002-01"") or Xray/TestRail key == AC-DG-13-002-01","Architecture §20.1, §27.3"
AC-DG-13-002-02,US-DG-13-002,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"Secrets never written to `ScanState` or reasoning traces (Architecture §20.1, §20.3).","Verify AC-DG-13-002-02: Secrets never written to `ScanState` or reasoning traces (Architecture §20.1, §20.3).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-002-02,TC-DG-13-002-02.2,"pytest marker @pytest.mark.req(""AC-DG-13-002-02"") or Xray/TestRail key == AC-DG-13-002-02","Architecture §20.1, §20.3"
AC-DG-13-003-01,US-DG-13-003,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,Router obeys task-to-model matrix defaults (Architecture §13.1–13.3).,Verify AC-DG-13-003-01: Router obeys task-to-model matrix defaults (Architecture §13.1–13.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-003-01,TC-DG-13-003-01.2,"pytest marker @pytest.mark.req(""AC-DG-13-003-01"") or Xray/TestRail key == AC-DG-13-003-01",Architecture §13.1–13.3
AC-DG-13-003-02,US-DG-13-003,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,Circuit breaker opens after threshold failures and switches provider (Architecture §19.2).,Verify AC-DG-13-003-02: Circuit breaker opens after threshold failures and switches provider (Architecture §19.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-003-02,TC-DG-13-003-02.2,"pytest marker @pytest.mark.req(""AC-DG-13-003-02"") or Xray/TestRail key == AC-DG-13-003-02",Architecture §19.2
AC-DG-13-004-01,US-DG-13-004,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"Default threshold `0.97` with tenant-configurable range `0.95–0.99` for admins only (Architecture §9.2, §24.1–24.2).","Verify AC-DG-13-004-01: Default threshold `0.97` with tenant-configurable range `0.95–0.99` for admins only (Architecture §9.2, §24.1–24.2).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-004-01,TC-DG-13-004-01.2,"pytest marker @pytest.mark.req(""AC-DG-13-004-01"") or Xray/TestRail key == AC-DG-13-004-01","Architecture §9.2, §24.1–24.2"
AC-DG-13-004-02,US-DG-13-004,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,Cache invalidates on prompt template version change (Architecture §9.4).,Verify AC-DG-13-004-02: Cache invalidates on prompt template version change (Architecture §9.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces. | 4. Execute negative path and assert stable error_code with no side effects.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-004-02,TC-DG-13-004-02.2,"pytest marker @pytest.mark.req(""AC-DG-13-004-02"") or Xray/TestRail key == AC-DG-13-004-02",Architecture §9.4
AC-DG-13-005-01,US-DG-13-005,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"Air-gap profile disables LangSmith; mandates self-hosted LangFuse (Architecture §22.2, §8.1).","Verify AC-DG-13-005-01: Air-gap profile disables LangSmith; mandates self-hosted LangFuse (Architecture §22.2, §8.1).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-005-01,TC-DG-13-005-01.2,"pytest marker @pytest.mark.req(""AC-DG-13-005-01"") or Xray/TestRail key == AC-DG-13-005-01","Architecture §22.2, §8.1"
AC-DG-13-005-02,US-DG-13-005,EPIC-DG-13,security-deployment,devsecops_engineer,3,L14,C0-C5,P0,Must,MVP,Functional,,,,,,integration,1,,,"Huawei deployment documents SM2/SM3/SM4 where applicable (Business doc §13.3, §17 Phase 3).","Verify AC-DG-13-005-02: Huawei deployment documents SM2/SM3/SM4 where applicable (Business doc §13.3, §17 Phase 3).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-13.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-13-005-02,TC-DG-13-005-02.2,"pytest marker @pytest.mark.req(""AC-DG-13-005-02"") or Xray/TestRail key == AC-DG-13-005-02",Architecture_Design.md (see product spec)
