ac_id,us_id,epic_id,squad,owner_role,estimate_points,phase_primary,phase_secondary,priority,moscow,release,requirement_type,nfr_metric,nfr_target,depends_on_epics,depends_on_us,depends_on_acs,test_layer_required,min_automated_tests,framework_tags,control_clause_ids,requirement_statement,objective,preconditions,verification_procedure,expected_result,edge_cases,suggested_tc_primary,suggested_tc_negative,automation_hints,architecture_refs
AC-DG-05-001-01,US-DG-05-001,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Response lists `policy_id`, human title, `policy_version`, framework family (Architecture §28.3; registry §16.1).","Verify AC-DG-05-001-01: Response lists `policy_id`, human title, `policy_version`, framework family (Architecture §28.3; registry §16.1).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-001-01,TC-DG-05-001-01.2,"pytest marker @pytest.mark.req(""AC-DG-05-001-01"") or Xray/TestRail key == AC-DG-05-001-01",Architecture §28.3; registry §16.1
AC-DG-05-001-02,US-DG-05-001,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Deprecated policies flagged but still listable for historical scans.,Verify AC-DG-05-001-02: Deprecated policies flagged but still listable for historical scans.,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-001-02,TC-DG-05-001-02.2,"pytest marker @pytest.mark.req(""AC-DG-05-001-02"") or Xray/TestRail key == AC-DG-05-001-02",Architecture_Design.md (see product spec)
AC-DG-05-002-01,US-DG-05-002,EPIC-DG-05,policy,compliance_engineer,5,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Multipart upload accepted only for `admin` role (Architecture §28.3).,Verify AC-DG-05-002-01: Multipart upload accepted only for `admin` role (Architecture §28.3).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-002-01,TC-DG-05-002-01.2,"pytest marker @pytest.mark.req(""AC-DG-05-002-01"") or Xray/TestRail key == AC-DG-05-002-01",Architecture §28.3
AC-DG-05-002-02,US-DG-05-002,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Successful parse returns `policy_id` + `policy_version` immutably stored.,Verify AC-DG-05-002-02: Successful parse returns `policy_id` + `policy_version` immutably stored.,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-002-02,TC-DG-05-002-02.2,"pytest marker @pytest.mark.req(""AC-DG-05-002-02"") or Xray/TestRail key == AC-DG-05-002-02",Architecture_Design.md (see product spec)
AC-DG-05-002-03,US-DG-05-002,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"Parsed controls include `control_id`, `framework`, `scope_tags`, `layer_relevance`, `test_procedures` (Architecture §16.2).","Verify AC-DG-05-002-03: Parsed controls include `control_id`, `framework`, `scope_tags`, `layer_relevance`, `test_procedures` (Architecture §16.2).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-002-03,TC-DG-05-002-03.2,"pytest marker @pytest.mark.req(""AC-DG-05-002-03"") or Xray/TestRail key == AC-DG-05-002-03",Architecture §16.2
AC-DG-05-003-01,US-DG-05-003,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Redis policy parse cache key includes `policy_id` + `policy_version` TTL until version change (Architecture §9.4).,Verify AC-DG-05-003-01: Redis policy parse cache key includes `policy_id` + `policy_version` TTL until version change (Architecture §9.4).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-003-01,TC-DG-05-003-01.2,"pytest marker @pytest.mark.req(""AC-DG-05-003-01"") or Xray/TestRail key == AC-DG-05-003-01",Architecture §9.4
AC-DG-05-003-02,US-DG-05-003,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Repo fingerprint / delta logic respects policy version changes (Architecture §23.1 Q7).,Verify AC-DG-05-003-02: Repo fingerprint / delta logic respects policy version changes (Architecture §23.1 Q7).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-003-02,TC-DG-05-003-02.2,"pytest marker @pytest.mark.req(""AC-DG-05-003-02"") or Xray/TestRail key == AC-DG-05-003-02",Architecture §23.1 Q7
AC-DG-05-004-01,US-DG-05-004,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,"For frameworks flagged as Chinese regulatory, `chinese_title` populated when source document provides it (Architecture §16.2; Business doc §15).","Verify AC-DG-05-004-01: For frameworks flagged as Chinese regulatory, `chinese_title` populated when source document provides it (Architecture §16.2; Business doc §15).",Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-004-01,TC-DG-05-004-01.2,"pytest marker @pytest.mark.req(""AC-DG-05-004-01"") or Xray/TestRail key == AC-DG-05-004-01",Architecture §16.2; Business doc §15
AC-DG-05-005-01,US-DG-05-005,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,,,,unit+integration,1,,,Schema validates control list: required fields match `PolicyControl` subset before Tiresias enrichment pass (Architecture §16.2).,Verify AC-DG-05-005-01: Schema validates control list: required fields match `PolicyControl` subset before Tiresias enrichment pass (Architecture §16.2).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-005-01,TC-DG-05-005-01.2,"pytest marker @pytest.mark.req(""AC-DG-05-005-01"") or Xray/TestRail key == AC-DG-05-005-01",Architecture §16.2
AC-DG-05-005-02,US-DG-05-005,EPIC-DG-05,policy,compliance_engineer,3,L7,L10/L11,P1,Should,MVP,Functional,,,EPIC-DG-02,,,unit+integration,1,,,Invalid file returns field-level validation errors (EPIC-DG-02 problem JSON).,Verify AC-DG-05-005-02: Invalid file returns field-level validation errors (EPIC-DG-02 problem JSON).,Tenant and scan fixtures exist; services healthy per test environment bootstrap.,"1. Arrange test data and configuration to match preconditions. | 2. Execute the operation or graph/API path under test. | 3. Assert post-conditions against DB rows, API responses, object store metadata, queue state, or traces. | 4. Execute negative path and assert stable error_code with no side effects.",Assertions pass; no secret material in logs; stable machine-readable error_code on failures; tenant isolation preserved for EPIC-DG-05.,Concurrent requests do not duplicate side effects; timeout/partial failures reach documented degraded or terminal states.,TC-DG-05-005-02,TC-DG-05-005-02.2,"pytest marker @pytest.mark.req(""AC-DG-05-005-02"") or Xray/TestRail key == AC-DG-05-005-02",Architecture_Design.md (see product spec)
